gene,tumor_r,normal_r,delta_r
PGGT1B,0.3104,-0.0263,0.3367
RBM33,0.4957,0.1593,0.3364
ACOT13,0.4365,0.1002,0.3363
KLHDC9,0.3028,-0.033,0.3358
ARFGAP2,0.365,0.0294,0.3356
DENND6A,0.4218,0.0862,0.3356
LANCL1,0.3461,0.0109,0.3352
AGO3,-0.0677,-0.4029,0.3352
SPTAN1,0.2614,-0.0737,0.3351
TRIO,0.4943,0.1596,0.3347
DGUOK,-0.0312,-0.3658,0.3346
PARVB,0.4358,0.103,0.33280000000000004
HEG1,0.4435,0.1107,0.3328
TRIM21,0.564,0.2312,0.3328
CREG1,0.385,0.0527,0.33230000000000004
UBA1,0.4051,0.0739,0.33120000000000005
EEF1A2,0.2799,-0.0499,0.3298
GRK6,0.2492,-0.0801,0.32930000000000004
TALDO1,0.5936,0.2644,0.3292
BPIFB2,0.8153,0.4863,0.329
TRAF4,0.4044,0.0754,0.32899999999999996
VCP,0.4142,0.0857,0.3285
MTMR9,0.1831,-0.1449,0.328
IFT20,0.318,-0.0087,0.3267
SEPHS2,0.4706,0.144,0.3266
ZC3H13,0.292,-0.0338,0.3258
CLSPN,0.2833,-0.042,0.3253
TOX,0.5616,0.2364,0.3252
ADAP1,0.6017,0.2766,0.3251
TRAF6,0.2015,-0.1235,0.325
PHKA1,0.6174,0.2931,0.3242999999999999
RING1,0.1218,-0.2023,0.3241
RDH14,0.3593,0.0354,0.3239
B4GALT3,-0.0169,-0.3405,0.3236
TCAF2,0.3302,0.0066,0.3236
LGALS3BP,0.3126,-0.0105,0.3231
C9orf16,0.3535,0.0318,0.3217
SPATA6,0.5381,0.2175,0.3206
WDR59,0.1934,-0.1266,0.31999999999999995
ZNF691,0.1725,-0.1471,0.3196
KMT5B,0.3058,-0.0136,0.3194
DYNC1LI2,0.4383,0.119,0.31930000000000003
TYMP,0.7073,0.3882,0.31910000000000005
TCEANC2,0.4729,0.1541,0.3188
CYP20A1,0.2722,-0.0465,0.3187
STARD5,0.5735,0.2548,0.3187
BCL9,0.6554,0.3373,0.3181
PLEKHA1,-0.1972,-0.5152,0.318
SEC14L4,0.3046,-0.0124,0.317
PRR36,0.5903,0.2739,0.31640000000000007
PHC3,0.351,0.0349,0.3161
MAPKAPK3,0.5652,0.2494,0.3158
DLGAP1,0.5746,0.2589,0.3157
DVL2,0.3143,-0.0013,0.31560000000000005
TXNL4B,0.4103,0.0948,0.3155
ZNF263,0.309,-0.0059,0.3149
RASSF5,0.7748,0.4603,0.31450000000000006
AGAP2,0.3939,0.0794,0.3145
SLC23A1,0.0624,-0.2517,0.3141
CREBBP,0.2068,-0.1068,0.3136
MBD1,0.2331,-0.0804,0.3135
DENND1C,0.1741,-0.1392,0.3133
NBDY,0.3505,0.0372,0.31329999999999997
MAP4K4,0.6208,0.3077,0.31310000000000004
PTRHD1,0.0457,-0.2672,0.3129
IGHMBP2,0.2795,-0.0332,0.31270000000000003
HCFC1,0.1977,-0.1148,0.3125
LRRC45,0.1895,-0.1224,0.3119
KIF5B,0.33,0.0191,0.3109
BCAR1,0.4016,0.091,0.3106
ORMDL2,0.1053,-0.2046,0.3099
ITGB1BP1,0.1984,-0.1108,0.3092
DXO,0.2827,-0.0263,0.309
SARAF,0.3707,0.0617,0.309
IKBKE,0.6133,0.3043,0.30899999999999994
YEATS2,0.3943,0.0854,0.30889999999999995
RFLNA,0.3855,0.0769,0.3086
CADPS,0.5875,0.2791,0.3084
ANKS1A,0.667,0.3588,0.30820000000000003
IGLL1,0.4744,0.1664,0.308
GPRC5C,0.5892,0.2812,0.30799999999999994
ANGPTL4,0.6144,0.3067,0.3077
ENO3,0.0013,-0.3063,0.30760000000000004
WWP1,0.1304,-0.1767,0.3071
DCTN5,-0.0304,-0.3372,0.3068
