gene,tumor_r,normal_r,delta_r
MRPL42,-0.0044,-0.1407,0.1363
ESYT1,0.3464,0.2101,0.13629999999999998
DISC1,0.3616,0.2255,0.13609999999999997
TRUB1,0.3033,0.1674,0.13590000000000002
HS2ST1,0.4711,0.3353,0.13580000000000003
WDTC1,0.3095,0.1737,0.1358
TARS2,0.5319,0.3962,0.13570000000000004
MRPL43,0.2124,0.0767,0.1357
PIK3CG,0.3747,0.24,0.1347
SC5D,0.3389,0.2042,0.1347
BANK1,0.5001,0.3656,0.1345
PRIM1,0.2497,0.1152,0.1345
PITRM1,0.5367,0.4022,0.13449999999999995
INHBE,-0.071,-0.2054,0.13440000000000002
TEFM,0.0804,-0.0539,0.1343
COX15,0.0518,-0.0825,0.1343
MRPL13,0.0967,-0.0374,0.1341
ALPK1,0.6081,0.4742,0.13389999999999996
GRSF1,0.3838,0.2505,0.13329999999999997
FILIP1L,0.5758,0.4428,0.13299999999999995
ELP4,0.0761,-0.0568,0.13290000000000002
BCL2L15,0.2599,0.127,0.13290000000000002
THNSL1,0.4425,0.3097,0.13280000000000003
PRKD2,0.3236,0.1909,0.1327
GLS,0.546,0.4136,0.13240000000000002
PIP4P1,0.286,0.154,0.13199999999999998
RAD9A,0.0874,-0.0444,0.1318
CDPF1,0.187,0.0557,0.1313
PNKD,0.3146,0.1835,0.1311
CD3D,0.5655,0.435,0.1305
GDAP2,0.2963,0.1658,0.1305
MCM6,0.4887,0.3584,0.13030000000000003
BAZ1A,0.529,0.3988,0.13020000000000004
NDUFS1,0.1093,-0.0209,0.13019999999999998
FRRS1,0.1515,0.0214,0.1301
GPRC5B,0.2844,0.1543,0.1301
PMPCB,0.1247,-0.0053,0.13
SNTB2,0.3844,0.2545,0.12990000000000002
CAVIN3,0.2605,0.1308,0.1297
MRPL19,0.0533,-0.0764,0.12969999999999998
POU2F2,0.2593,0.1296,0.12969999999999998
MRPS5,0.1317,0.0021,0.12960000000000002
MGAT4B,0.2546,0.125,0.1296
SOD3,0.5866,0.4571,0.1295
GEM,0.408,0.2785,0.12949999999999995
OCIAD1,0.2878,0.1584,0.1294
UQCC3,0.1078,-0.0214,0.1292
POLA1,-0.1112,-0.2404,0.1292
IGHV3-16,0.015,-0.1142,0.12919999999999998
IMP3,-0.1442,-0.2734,0.12919999999999998
ATRAID,0.3118,0.1827,0.12910000000000002
POLDIP2,0.4644,0.3355,0.12889999999999996
KLHL29,0.5064,0.3775,0.12889999999999996
PRICKLE3,0.3176,0.1888,0.1288
TBC1D10B,0.2618,0.1331,0.12869999999999998
PRXL2C,-0.0066,-0.1351,0.1285
NEK11,0.5196,0.3916,0.12799999999999995
HYPK,0.1572,0.0293,0.1279
CLCN6,0.1453,0.0175,0.12780000000000002
LURAP1L,0.3653,0.2375,0.12780000000000002
GSN,0.2769,0.1492,0.12769999999999998
UBE2K,0.113,-0.0145,0.1275
CD180,0.3063,0.1797,0.12660000000000002
SLCO3A1,0.5388,0.4123,0.12649999999999995
RAB6A,0.1931,0.0668,0.1263
NDUFB10,0.1708,0.0446,0.1262
ACSF2,0.2108,0.0846,0.12619999999999998
AP5S1,0.1373,0.0114,0.1259
MRPL39,0.0359,-0.0899,0.1258
DNAJA3,0.5442,0.4186,0.1256
XYLT2,0.4287,0.3032,0.1255
ZNF672,-0.0095,-0.1349,0.12539999999999998
KRT23,-0.0192,-0.1443,0.12510000000000002
MSANTD2,-0.0468,-0.1718,0.125
LYAR,0.3804,0.2554,0.125
BTBD1,0.0624,-0.0626,0.125
ARL6IP4,-0.022,-0.1469,0.12490000000000001
NFU1,0.3779,0.253,0.12490000000000001
PRR3,0.3558,0.2312,0.12460000000000002
ANO1,0.5308,0.4063,0.12450000000000006
AP1M2,0.0669,-0.0576,0.1245
YARS2,0.4261,0.3019,0.12419999999999998
MRPL53,0.1257,0.0017,0.12400000000000001
CLPTM1,0.3665,0.2425,0.124
MICU2,0.0494,-0.0744,0.1238
MED9,0.1487,0.0251,0.1236
RNF34,0.1523,0.0287,0.12359999999999999
SYN1,0.3319,0.2083,0.12359999999999996
ROR1,0.3554,0.2319,0.1235
PAH,0.2141,0.091,0.12310000000000001
MRPS9,0.0343,-0.0888,0.1231
C16orf91,0.2358,0.1128,0.12300000000000001
GTPBP3,0.2797,0.1568,0.12290000000000001
CALHM6,0.7303,0.6075,0.12279999999999991
GNL2,0.3107,0.1882,0.12249999999999997
GPX2,0.1143,-0.008,0.12229999999999999
NLRC4,0.4398,0.3176,0.12220000000000003
FAM124A,0.0718,-0.0504,0.1222
MGST3,0.328,0.206,0.12200000000000003
PRDM2,-0.0503,-0.1723,0.12200000000000001
BCL11B,0.1094,-0.0126,0.122
IKZF2,0.3789,0.2575,0.12140000000000001
MRPL44,0.2191,0.0978,0.12129999999999999
AR,0.3631,0.242,0.12109999999999999
GFER,0.4585,0.3375,0.121
SPATA5L1,0.2694,0.1485,0.12089999999999998
ASCC2,0.2215,0.1011,0.12040000000000001
GARNL3,-0.1144,-0.2347,0.12029999999999999
DENND5A,0.2931,0.1729,0.12020000000000003
GOT2,0.4904,0.3705,0.1199
COG2,0.4898,0.37,0.11980000000000002
MEF2C,0.5349,0.4153,0.11960000000000004
EMC7,0.1333,0.0137,0.1196
DHRS3,0.4527,0.3333,0.1194
SSBP4,0.0959,-0.0235,0.1194
VAMP7,0.3907,0.2714,0.11930000000000002
SLMAP,0.4822,0.3629,0.11930000000000002
WDR61,0.1394,0.0201,0.11929999999999999
DRG2,0.2216,0.1024,0.11919999999999999
MRPL48,0.2428,0.1236,0.11919999999999999
MFN2,0.4079,0.2887,0.11919999999999997
MRPL17,0.0276,-0.0911,0.1187
RPL13,0.0403,-0.0783,0.1186
MGME1,0.3488,0.2303,0.1185
SCO1,0.3316,0.2131,0.1185
HNRNPH2,0.2037,0.0853,0.11839999999999999
UQCRC1,0.2788,0.1605,0.11829999999999999
STX10,0.1967,0.0785,0.11820000000000001
ABCE1,0.3705,0.2524,0.11809999999999998
F13B,-0.0883,-0.2063,0.11800000000000001
