gene,tumor_r,normal_r,delta_r
IGHV3-38,0.1145,-0.0492,0.1637
EIF4A3,0.3725,0.2089,0.1636
KRT20,0.4189,0.2553,0.16359999999999997
GZMM,0.4806,0.3171,0.16350000000000003
EIF3F,0.2072,0.044,0.1632
MPHOSPH10,0.3834,0.2205,0.16290000000000002
CCNYL1,0.6256,0.4629,0.16270000000000007
EPS15L1,0.2671,0.1044,0.1627
DALRD3,0.3281,0.1654,0.1627
DDX1,0.2089,0.0462,0.1627
C12orf66,0.1038,-0.0586,0.1624
SLC66A2,0.3372,0.1748,0.1624
MPC1,0.4497,0.2873,0.1624
SNRNP48,0.2859,0.1239,0.16199999999999998
MAN2C1,0.1529,-0.0077,0.16060000000000002
STIP1,0.5842,0.424,0.16020000000000006
FOXA2,0.4091,0.2489,0.1602
COA1,0.4606,0.3005,0.16010000000000002
VRK2,0.5524,0.3925,0.1599
TTC26,-0.0114,-0.1711,0.1597
TMEM176B,0.2656,0.106,0.15960000000000002
METAP1D,0.061,-0.0985,0.1595
ZMAT2,0.088,-0.0713,0.1593
UBALD2,0.0861,-0.0728,0.15889999999999999
DHX9,0.4566,0.2978,0.1588
NPHP4,0.2883,0.1297,0.1586
CITED2,0.0612,-0.0973,0.1585
PCBP3,0.2882,0.1299,0.15830000000000002
RPRD1B,0.3609,0.2026,0.1583
IGSF10,0.0463,-0.112,0.1583
PCGF2,0.1944,0.0365,0.15789999999999998
TMEM9,0.4148,0.2569,0.15789999999999998
ING2,0.5614,0.4036,0.1578
NT5C3B,0.6107,0.453,0.1577
SNIP1,0.2683,0.1107,0.15759999999999996
PHF20L1,-0.0394,-0.1969,0.1575
FAM171A1,0.1574,0.0,0.1574
IGKV1-8,0.3276,0.1704,0.1572
MRPL50,0.3152,0.158,0.15719999999999998
SLC2A13,0.4936,0.3365,0.15709999999999996
ELF1,0.3212,0.1645,0.15669999999999998
PTP4A3,0.3101,0.1536,0.1565
ANKHD1-EIF4EBP3,0.2567,0.1002,0.15649999999999997
RBM39,0.05,-0.1061,0.15610000000000002
UBL7,0.0809,-0.0752,0.15610000000000002
BOLA3,0.3483,0.1922,0.1561
SYN2,0.361,0.2049,0.1561
PYGO2,0.0909,-0.0649,0.1558
SDSL,0.4749,0.3193,0.15560000000000002
USP9Y,0.427,0.2714,0.15560000000000002
IGFBP4,0.6207,0.4652,0.15550000000000003
KLC1,0.2366,0.0811,0.1555
COX16,0.1088,-0.0464,0.1552
NBDY,0.5454,0.3903,0.15510000000000002
MBNL1,0.1362,-0.0189,0.1551
XRN2,0.3201,0.1652,0.15489999999999998
LCN1,0.1311,-0.0238,0.15489999999999998
HNMT,0.6642,0.5094,0.15480000000000005
MUC15,0.1959,0.0412,0.1547
METTL2A,0.2812,0.1266,0.15460000000000002
BTF3L4,0.1191,-0.0351,0.1542
LAMB4,-0.0604,-0.2143,0.15389999999999998
TUBG1,0.1407,-0.0125,0.1532
SPDL1,0.2648,0.112,0.1528
CRB2,0.0013,-0.1514,0.1527
COMMD9,0.0963,-0.0562,0.1525
TSHZ3,0.5809,0.4286,0.1523
EN1,0.7874,0.6351,0.1523
NEK4,0.088,-0.0642,0.1522
WWC1,0.5641,0.4121,0.15200000000000002
PDZD2,0.3617,0.2099,0.15180000000000002
SZRD1,0.5362,0.3849,0.1513
PYURF,-0.0025,-0.1538,0.1513
BECN1,0.1547,0.0035,0.1512
HYPK,0.2319,0.0808,0.1511
KANSL3,0.1515,0.0004,0.15109999999999998
ACP5,0.6835,0.5327,0.15080000000000005
COMMD8,0.3195,0.1688,0.1507
LAT2,0.4095,0.2589,0.15059999999999996
TRIM11,0.2857,0.1353,0.1504
GAS1,0.3805,0.2302,0.15030000000000002
